ID,Title,Description,Status,Priority,Estimate,Labels
LF-1,Rename to Lorefold across documentation,"Brand-level rename only. Update REBOOT.md, doc/, user-facing strings. Do NOT rename athens.* namespaces, :block/* attrs, or [[athens/task]] type strings (load-bearing in the event log and 166 tests). Acceptance: no user-facing doc calls it Athens except as provenance; JVM tests still green. Full detail in BACKLOG.md.",Todo,2,2,"epic-rename,agent"
LF-2,Replace README.md with Lorefold framing,"Current README opens with upstream's 'no longer maintained' banner. Replace with: what Lorefold is, quickstart pointing at ops/, link to REBOOT.md, Athens provenance line (YC W21), EPL-1.0 notice. Blocked by LF-1.",Todo,2,2,"epic-rename,agent"
LF-3,Add ops/compose.m0.yml with pinned images,"Pin ghcr.io/athensresearch/athens:v2.1.0-beta.5 and fluree/ledger:1.0.0-beta17 (both verified pullable). Drop nginx service, do not publish port 8090, drop obsolete version key, leave original docker-compose.yml untouched. CONFIG_EDN must use single-quoted YAML so inner EDN quotes survive. Set TZ. Never add :nrepl (unauthenticated RCE).",Todo,2,2,"epic-m0,agent"
LF-4,Add ops/.env.example,"Document CONFIG_EDN, TZ, domain var. Gitignore .env. Explain the EDN-in-YAML quoting trap inline. No real secrets committed. Blocked by LF-3.",Todo,2,1,"epic-m0,agent"
LF-5,Write ops/RUNBOOK.md,"Boot and health check, browser connect flow (the published jar serves the SPA at :3010 - verified), prefilled URL form using graph-name/graph-url/graph-password (base64), which Settings feature flags to enable (tasks/properties/queries/comments/notifications are shipped but flagged off), and the REST smoke test via /api/path/write. Acceptance: a stranger can go clone-to-graph using only this file.",Todo,2,3,"epic-m0,agent"
LF-6,Add ops/backup/backup.sh and restore.md,"Hot logical export via the save CLI bundled in the image, run inside the container to the mounted volume. Weekly cold tar around stop/start. Rotation. Restore must document the 'restart fluree after ledger delete' caveat. State plainly that the DataScript snapshot alone is NOT a backup and that :in-memory? true persists nothing.",Todo,2,3,"epic-m0,agent"
LF-7,[HUMAN] Verify the M0 stack,"Two browsers editing one graph live with presence avatars; docker compose restart preserves data; the curl write appears live in both browsers; backup produces non-empty EDN. Blocked by LF-3, LF-5, LF-6.",Todo,2,2,"epic-m0,human"
LF-8,[HUMAN] Decide deployment target,"Local only, VPS, or Tailscale-only. Determines whether TLS work (LF-20, LF-22) gets pulled forward. Record the decision in ops/RUNBOOK.md.",Todo,2,1,"epic-m0,human,decision"
LF-9,Scaffold tools/lorefold-mcp,"TypeScript, @modelcontextprotocol/sdk, stdio transport. Config strictly from env: LOREFOLD_URL, LOREFOLD_USERNAME, LOREFOLD_PASSWORD. Package.json, tsconfig, build script, README with the claude mcp add line. Acceptance: builds and starts cleanly advertising zero tools.",Todo,2,2,"epic-m2a,agent"
LF-10,Implement the REST client module,"Wrap POST /api/path/read and /api/path/write with HTTP Basic auth. Own the JSON key mapping in exactly one place - muuntaja emits namespaced keywords as 'page/title'-style strings. Typed errors surfacing the server rejection reason. Blocked by LF-9.",Todo,2,3,"epic-m2a,agent"
LF-11,Implement the markdown to internal-representation codec,"Indented list items map to :block/string and :block/children. Rendering IR to a markdown outline for agent consumption is the primary direction. Comment explicitly that this is NOT a general markdown parser and must not be reused to round-trip arbitrary files. Blocked by LF-9.",Todo,2,3,"epic-m2a,agent"
LF-12,Implement the daily-note date helper,"Title format is LLLL dd, yyyy with a ZERO-PADDED day (August 09, 2026). Must agree with the server timezone - read TZ and document the coupling. Getting this wrong silently creates duplicate daily pages. Tests over single-digit days, month boundaries, non-local TZ. Blocked by LF-9.",Todo,2,1,"epic-m2a,agent"
LF-13,Implement v0 MCP tools,"lorefold_daily_append, lorefold_page_read (IR plus rendered markdown), lorefold_page_write (path upsert), lorefold_page_create. Zod schemas, useful descriptions, errors that tell the model what to fix. Writes are attributed via the Basic-auth username and appear as a named collaborator. Blocked by LF-10, LF-11, LF-12.",Todo,2,5,"epic-m2a,agent"
LF-14,Unit tests for the MCP bridge,"Vitest over codec, dates, and client. No live server required. Blocked by LF-13.",Todo,2,2,"epic-m2a,agent"
LF-15,[HUMAN] Register and validate the bridge end to end,"claude mcp add against the running M0 stack. Claude appends to today's daily note; it appears live in an open browser attributed to the bot user; a page reads back as markdown. The decision gate follows the decision-layer epic (LF-35..38): two weeks of live decision-recording before starting Epic E (M1). Blocked by LF-7, LF-13.",Todo,2,2,"epic-m2a,human,gate"
LF-16,Strip the PostHog snippet from index.html,"resources/public/index.html ships a live analytics key that phones home on every page load. Remove it. Sentry needs no action - its DSN goog-define defaults to empty in source builds.",Backlog,3,1,"epic-m1,agent"
LF-17,Remove dead frontend dependencies,"highlight.js, react-highlight.js, codemirror, react-codemirror2 are all pinned and imported nowhere. Remove from package.json, refresh lockfile, delete the reader-discarded CodeMirror sketch in parse_renderer.cljs. No behavior change - code blocks already render unstyled.",Backlog,3,1,"epic-m1,agent"
LF-18,Build the server from source on temurin 17,"clojure -P, AOT compile athens.self-hosted.core, uberjar via :uberdeps. Temurin 17 is the JDK the original CI proved. Primary risk is resolving com.fluree/db 1.0.0-rc33 from Clojars - the moment resolution succeeds, vendor the entire ~/.m2/repository as a tarball and document how builds consume it. Required insurance even if Clojars works. Document every breakpoint in order.",Backlog,3,5,"epic-m1,agent"
LF-19,Build the frontend from source,"node:16-bullseye plus temurin 17 (shadow-cljs runs on the JVM and resolves deps.edn). ELECTRON_SKIP_BINARY_DOWNLOAD=1, then yarn components && shadow-cljs release app. Never yarn prod - it drags the Electron targets. Blocked by LF-16, LF-17.",Backlog,3,3,"epic-m1,agent"
LF-20,Add ops/Dockerfile and ops/compose.yml,"Three stages: frontend, server build, temurin-17-JRE runtime. Copy the built SPA into resources/public BEFORE the uberjar step, mirroring the CI order that baked the client into the jar. Compose adds Caddy 2 for TLS; the client derives wss:// from https:// automatically. Auth layering: graph password guards /ws, Basic auth guards /api/*, so any Caddy basic_auth must be scoped away from both. Blocked by LF-18, LF-19.",Backlog,3,5,"epic-m1,agent"
LF-21,Rewrite CI,"New .github/workflows/ci.yml: clj-kondo pinned at the version the repo was clean against, clojure -X:test :excludes [:fluree], image build on tags and main. Drop style and carve jobs. Disable or delete the inherited build.yml, which is unrunnable since GitHub retired those action versions.",Backlog,3,3,"epic-m1,agent"
LF-22,[HUMAN] Domain DNS TLS and secrets,"Register and point the domain, let Caddy issue certs, add GitHub Actions secrets. Blocked by LF-8, LF-20.",Backlog,3,2,"epic-m1,human"
LF-23,Clean-machine build verification,"Fresh clone on a Docker-only machine, up --build, view-source shows no PostHog, two-browser RTC over TLS, REST smoke over TLS, test-restore of a backup into a scratch stack. Blocked by LF-20, LF-21, LF-22.",Backlog,3,2,"epic-m1,agent"
LF-24,Implement the SQLite event log,"New namespace behind the verified four-function seam: init!, add-event! (idempotent insert preserving double-write tolerance), events (ordered scan with :since-event-id), last-event-id. Schema (event_order INTEGER PRIMARY KEY, event_id TEXT UNIQUE, data TEXT), WAL mode. Config switch :event-log {:backend :sqlite}. The existing single-writer lock already serializes appends - do not add another.",Backlog,3,5,"epic-m15,agent"
LF-25,Contract tests for the SQLite event log,"Mirror the cases in event_log_test.clj including idempotent double-write and ordered replay from a mid-log event id. Blocked by LF-24.",Backlog,3,3,"epic-m15,agent"
LF-26,Build the Fluree to SQLite migration tool,"The old save CLI emits exactly the (uuid, EDN-string) pairs the new interface needs. Write the loader plus a verification pass comparing event counts and final graph state. Blocked by LF-24.",Backlog,3,3,"epic-m15,agent"
LF-27,Remove Fluree entirely,"Delete the Fluree namespaces, drop com.fluree/db from deps.edn, remove the service from compose, remove the fluree test exclusion from CI (it exists only because those tests hang). Acceptance: no Fluree in the runtime path, tests green with no exclusions, two-container stack. Blocked by LF-25, LF-26.",Backlog,3,3,"epic-m15,agent"
LF-28,[HUMAN] Migrate real data to SQLite,"Export from the running Fluree stack, import to SQLite, verify page counts and spot-check content, keep the old volume until confident. Blocked by LF-26, LF-27.",Backlog,3,2,"epic-m15,human"
LF-29,Add read endpoints to api.clj,"/api/pages (get-all-pages), /api/search (linear scan plus breadcrumb-string and owning page), /api/backlinks (get-linked-refs-by-page-title). Same feature flag and Basic auth, each 10-25 lines reusing verified common_db helpers. Search ships as a scan; the FTS5 upgrade rides on LF-24 and is a separate follow-up. Document with curl examples in the file comment block per existing convention.",Backlog,3,5,"epic-m2b,agent"
LF-30,Add write endpoints to api.clj,"/api/block/save and /api/block/remove via build-block-save-op and build-block-remove-op. These exist because path-write can only append - writing an existing uid through it resolves to a move, not an edit. Blocked by LF-29.",Backlog,3,3,"epic-m2b,agent"
LF-31,Add /api/export,"All pages as internal representation, for a real exit path. There is currently no export of any kind, which is a prerequisite for trusting the tool with irreplaceable notes. Blocked by LF-29.",Backlog,3,2,"epic-m2b,agent"
LF-32,Write the first tests for api.clj,"The API has never had a test. Op-shape unit tests plus round-trip integration against :in-memory? true, which skips Fluree entirely and is ideal for tests. Blocked by LF-29, LF-30, LF-31.",Backlog,3,3,"epic-m2b,agent"
LF-33,Implement MCP v1 tools,"lorefold_search, lorefold_backlinks, lorefold_pages, lorefold_block_edit, lorefold_tasks, lorefold_export. Tasks are blocks carrying properties keyed by pages titled ':task/status' and friends. Blocked by LF-30, LF-31, LF-13.",Backlog,3,5,"epic-m2b,agent"
LF-34,[HUMAN] Validate the full agent toolset,"Claude answers 'what links to [[Client X]]?' and 'what tasks are open?' correctly; export markdown matches the UI. Blocked by LF-33.",Backlog,3,2,"epic-m2b,human"
LF-35,[HUMAN] Architecture decision: where evidence lives,"Agent drafts the spike, owner decides. The decision-intelligence reframe makes three weaknesses product-critical: whole graph shipped to every client on connect, no permissions model, in-browser search. Recommended default: evidence does NOT live in the graph - the graph holds decision objects plus links (source-system URLs first, evidence store later). Acceptance: written decision in doc/ covering evidence placement, per-client isolation boundary, and minimum auth bar before any client data is referenced.",Todo,1,3,"epic-decision,human,decision"
LF-36,Spike: ingestion adopt vs build,"Evaluate adopting an OSS layer as the evidence store with Lorefold owning only the decision ledger. Hands-on candidates: Semantica (semantica-agi/semantica, MIT pip framework: context graphs, entity resolution, PROV-O provenance, big connector surface, own MCP server; its 'decision intelligence' records AI-agent decisions, not human organizational ones) and Onyx/Danswer-class search. Criteria: connectors, self-hostability, per-client isolation, license compat, citation support, maintenance burden, maturity (Semantica is young; canonical repo only, ignore clone mirrors). Acceptance: written recommendation in doc/ that explicitly answers (1) can Semantica serve as the evidence layer and (2) does anything in it invalidate the Athens-substrate choice. No code.",Todo,1,3,"epic-decision,agent"
